rank,ep,expert_tp,global_tokens,original_rows_per_rank,rows_after_tp_gather,graph_ms,relative_l2_vs_ep16,includes_tp_gather_and_reduce_scatter
6,8,2,16,1,2,0.2439573287963867,0.003240879625082016,True
6,8,2,128,8,16,0.25155626932779945,0.0032413757871836424,True
6,8,2,2048,128,256,0.3315583864847819,0.00326620158739388,True
6,8,2,8192,512,1024,0.555675760904948,0.0032474733889102936,True
7,16,1,16,1,1,0.18547306060791016,0.0,True
7,16,1,128,8,8,0.20527253150939942,0.0,True
7,16,1,2048,128,128,0.2627946694691976,0.0,True
7,16,1,8192,512,512,0.3886240005493164,0.0,True
7,8,2,16,1,2,0.24344639778137206,0.003228937741369009,True
7,8,2,128,8,16,0.2511840025583903,0.00319081312045455,True
7,8,2,2048,128,256,0.33134400049845375,0.0032628888729959726,True
7,8,2,8192,512,1024,0.5554784138997396,0.003250901587307453,True
8,16,1,16,1,1,0.18581120173136392,0.0,True
8,16,1,128,8,8,0.2057802677154541,0.0,True
8,16,1,2048,128,128,0.262884267171224,0.0,True
8,16,1,8192,512,512,0.38864320119222007,0.0,True
8,8,2,16,1,2,0.24376427332560222,0.0031979726627469063,True
8,8,2,128,8,16,0.2513546625773112,0.00329026160761714,True
8,8,2,2048,128,256,0.33135999043782555,0.0032453970052301884,True
8,8,2,8192,512,1024,0.5555722554524739,0.003257390111684799,True
9,16,1,16,1,1,0.18574934005737304,0.0,True
9,16,1,128,8,8,0.20579306284586588,0.0,True
9,16,1,2048,128,128,0.26293652852376304,0.0,True
9,16,1,8192,512,512,0.3886879920959473,0.0,True
9,8,2,16,1,2,0.2429141362508138,0.003265360137447715,True
9,8,2,128,8,16,0.2514058589935303,0.0032443972304463387,True
9,8,2,2048,128,256,0.3315039952596029,0.0032651787623763084,True
9,8,2,8192,512,1024,0.5559359868367513,0.0032532974146306515,True
