rank,op,m,n,k,tp,ms,gflops,gbps
8,bf16_kda_projection,128,768,7168,16,0.026181334257125856,53827.89624697718,0
8,bf16_kda_projection,1024,768,7168,16,0.022268799940745036,506281.8464398491,0
8,bf16_kda_projection,8192,768,7168,16,0.06721173127492269,1341943.0135948947,0
9,hbm_copy,0,0,0,1,0.08211615562438965,0,6537.945035514325
9,bf16_kda_projection,1,12288,7168,1,0.03216533263524373,5476.727693062303,0
9,bf16_kda_projection,8,12288,7168,1,0.031932799021402995,44132.8723816357,0
9,bf16_kda_projection,128,12288,7168,1,0.0302730659643809,744839.598689162,0
9,bf16_kda_projection,1024,12288,7168,1,0.11460693677266438,1573976.51060006,0
9,bf16_kda_projection,8192,12288,7168,1,0.8505023956298828,1696772.4240062041,0
9,bf16_kda_projection,1,6144,7168,2,0.024165334304173787,3644.906496691293,0
9,bf16_kda_projection,8,6144,7168,2,0.023433599869410196,30069.77485007878,0
9,bf16_kda_projection,128,6144,7168,2,0.02119999925295512,531806.1108152374,0
9,bf16_kda_projection,1024,6144,7168,2,0.07098773320515951,1270561.9568853131,0
9,bf16_kda_projection,8192,6144,7168,2,0.49699627558390297,1451830.8107646715,0
9,bf16_kda_projection,1,3072,7168,4,0.02482879956563314,1773.7543808182484,0
9,bf16_kda_projection,8,3072,7168,4,0.02439360022544861,14443.195458800737,0
9,bf16_kda_projection,128,3072,7168,4,0.02062506675720215,273315.21601167874,0
9,bf16_kda_projection,1024,3072,7168,4,0.03750293254852295,1202496.8060737997,0
9,bf16_kda_projection,8192,3072,7168,4,0.2320533275604248,1554716.998272979,0
9,bf16_kda_projection,1,1536,7168,8,0.024407466252644856,902.186887080663,0
9,bf16_kda_projection,8,1536,7168,8,0.02440320054690043,7218.756722563387,0
9,bf16_kda_projection,128,1536,7168,8,0.024170666933059692,116611.27497251087,0
9,bf16_kda_projection,1024,1536,7168,8,0.021810134251912434,1033857.8407431314,0
9,bf16_kda_projection,8192,1536,7168,8,0.12817813555399576,1407327.5886901184,0
9,bf16_kda_projection,1,768,7168,16,0.024587732553482056,447.78622738194633,0
9,bf16_kda_projection,8,768,7168,16,0.02570026715596517,3427.216669207116,0
9,bf16_kda_projection,128,768,7168,16,0.024331732590993246,57919.67911572677,0
9,bf16_kda_projection,1024,768,7168,16,0.021089067061742146,534603.5042229432,0
9,bf16_kda_projection,8192,768,7168,16,0.06321920156478882,1426691.7484487104,0
10,hbm_copy,0,0,0,1,0.08214112281799317,0,6535.9577953370435
