rank,group_start,size,requested_tokens,padded_tokens,op,logical_bytes,median_ms,min_ms,max_ms
1,0,2,1024,1024,rs_ag_pair,14680064,0.09850986798604329,0.09754133224487305,0.10090133349100748
1,0,2,8192,8192,all_reduce,117440512,0.24583892822265624,0.24562133153279622,0.24628267288208008
1,0,2,8192,8192,reduce_scatter,117440512,0.16392107009887696,0.16351787249247232,0.16396800676981607
1,0,2,8192,8192,all_gather,117440512,0.1527466615041097,0.15273812611897786,0.1534623940785726
1,0,2,8192,8192,all_to_all,117440512,0.19575467109680175,0.19550612767537434,0.27813227971394855
1,0,2,8192,8192,rs_ag_pair,117440512,0.31746241251627605,0.3169642766316732,0.31755412419637047
1,0,2,16384,16384,all_reduce,234881024,0.4563018798828125,0.4538293202718099,0.45632638931274416
1,0,2,16384,16384,reduce_scatter,234881024,0.30153280893961587,0.3013344128926595,0.3446048100789388
1,0,2,16384,16384,all_gather,234881024,0.282862917582194,0.282203737894694,0.28287359873453777
1,0,2,16384,16384,all_to_all,234881024,0.36228265762329104,0.3618933359781901,0.3627231915791829
1,0,2,16384,16384,rs_ag_pair,234881024,0.5817802429199219,0.5814666748046875,0.5826325098673503
1,0,4,1,4,all_reduce,57344,0.055956268310546876,0.055514665444691975,0.05656533241271973
1,0,4,1,4,reduce_scatter,57344,0.05140693187713623,0.05084480047225952,0.05361173152923584
1,0,4,1,4,all_gather,57344,0.05008000135421753,0.049831465880076094,0.05058559974034627
1,0,4,1,4,all_to_all,57344,0.0612277348836263,0.05866560141245524,0.06273599863052368
1,0,4,1,4,rs_ag_pair,57344,0.10585813522338867,0.10555413564046225,0.14407893816630046
1,0,4,8,8,all_reduce,114688,0.05822399854660034,0.057156264781951904,0.05958186785380046
1,0,4,8,8,reduce_scatter,114688,0.05480639934539795,0.054255998134613036,0.056142934163411456
1,0,4,8,8,all_gather,114688,0.05091520150502523,0.05082026720046997,0.05198613405227661
1,0,4,8,8,all_to_all,114688,0.0598901351292928,0.05891840060551961,0.06076800028483073
1,0,4,8,8,rs_ag_pair,114688,0.10651520093282064,0.10613973140716552,0.10768640041351318
1,0,4,128,128,all_reduce,1835008,0.061844265460968016,0.06094613472620646,0.06209280093510946
1,0,4,128,128,reduce_scatter,1835008,0.05600320100784302,0.05514773527781169,0.056458667914072676
1,0,4,128,128,all_gather,1835008,0.05418879985809326,0.05352853139241536,0.16780160268147787
1,0,4,128,128,all_to_all,1835008,0.06221119960149129,0.06028266747792562,0.06249493360519409
1,0,4,128,128,rs_ag_pair,1835008,0.11020586490631104,0.10886933008829752,0.1115552028020223
1,0,4,1024,1024,all_reduce,14680064,0.0618559996287028,0.06145919958750407,0.06229759852091472
1,0,4,1024,1024,reduce_scatter,14680064,0.056831999619801836,0.05673173268636068,0.058125865459442136
1,0,4,1024,1024,all_gather,14680064,0.057852800687154135,0.057681067784627275,0.058015998204549155
1,0,4,1024,1024,all_to_all,14680064,0.062270931402842206,0.0610485315322876,0.06291520198186239
1,0,4,1024,1024,rs_ag_pair,14680064,0.11566826502482096,0.11250346501668294,0.2594325383504232
1,0,4,8192,8192,all_reduce,117440512,0.3084896087646484,0.3084735870361328,0.3086517333984375
1,0,4,8192,8192,reduce_scatter,117440512,0.1807242711385091,0.18024427096048992,0.1816256046295166
1,0,4,8192,8192,all_gather,117440512,0.17709226608276368,0.17674026489257813,0.1775551954905192
1,0,4,8192,8192,all_to_all,117440512,0.1993226687113444,0.19770666758219402,0.19946239789326986
1,0,4,8192,8192,rs_ag_pair,117440512,0.3592597325642904,0.35913387934366864,0.35980587005615233
1,0,4,16384,16384,all_reduce,234881024,0.594868278503418,0.5947434743245442,0.5954314549763997
1,0,4,16384,16384,reduce_scatter,234881024,0.34161065419514974,0.3415658632914225,0.342138671875
1,0,4,16384,16384,all_gather,234881024,0.3296127955118815,0.32852160135904945,0.33048747380574545
1,0,4,16384,16384,all_to_all,234881024,0.369052791595459,0.36842772165934246,0.3695616086324056
1,0,4,16384,16384,rs_ag_pair,234881024,0.6742506663004557,0.6734656016031901,0.7167189280192058
1,0,8,1,8,all_reduce,114688,0.059800533453623454,0.057131731510162355,0.07647466659545898
1,0,8,1,8,reduce_scatter,114688,0.05164053440093994,0.051516799132029216,0.051950931549072266
1,0,8,1,8,all_gather,114688,0.04879786570866903,0.048769064744313556,0.050247466564178465
