rank,ep,source_ranks,tokens_per_rank,global_tokens,routing,ms,max_mean_expert_load,workspace_device_bytes,dynamic_peak_bytes
5,8,8,2048,16384,hot_rank,9.025662231445313,55.999996185302734,4171235328,14680064
5,4,4,1,4,balanced,0.27079680760701497,13.999999046325684,3089104896,7168
5,4,4,1,4,hot_rank,0.12826240062713623,55.999996185302734,3089104896,7168
5,4,4,8,32,balanced,0.7537663777669271,1.7499998807907104,3089104896,57344
5,4,4,8,32,hot_rank,0.18078719774882,55.999996185302734,3089104896,57344
5,4,4,128,512,balanced,0.8455423990885417,1.09375,3089104896,917504
5,4,4,128,512,hot_rank,0.9079359690348308,55.999996185302734,3089104896,917504
5,4,4,512,2048,balanced,1.0467498779296875,1.01171875,3089104896,3670016
5,4,4,512,2048,hot_rank,1.5024363199869792,55.999996185302734,3089104896,3670016
5,4,4,2048,8192,balanced,1.6738260904947917,1.0048828125,3089104896,14680064
5,4,4,2048,8192,hot_rank,4.720405578613281,55.999996185302734,3089104896,14680064
6,16,16,1,16,balanced,0.196452267964681,3.499999761581421,6981419008,7168
6,16,16,1,16,hot_rank,0.1129045327504476,55.999996185302734,6981419008,7168
6,16,16,8,128,balanced,0.21506133079528808,1.3125,6981419008,57344
6,16,16,8,128,hot_rank,0.36921173731486,55.999996185302734,6981419008,57344
6,16,16,128,2048,balanced,2.8338409423828126,1.01171875,6981419008,917504
6,16,16,128,2048,hot_rank,1.3679893493652344,55.999996185302734,6981419008,917504
6,16,16,512,8192,balanced,0.5365845362345377,1.0048828125,6981419008,3670016
6,16,16,512,8192,hot_rank,4.677117919921875,55.999996185302734,6981419008,3670016
6,16,16,2048,32768,balanced,1.488479995727539,1.00146484375,6981419008,14680064
6,16,16,2048,32768,hot_rank,17.77199503580729,55.999996185302734,6981419008,14680064
6,16,4,0,8192,balanced,1.5126015981038412,1.0048828125,6981419008,0
6,16,8,1024,8192,balanced,1.4530175526936848,1.0048828125,6981419008,0
6,8,8,1,8,balanced,0.3986837387084961,6.999999523162842,4171235328,7168
6,8,8,1,8,hot_rank,0.12292693456013998,55.999996185302734,4171235328,7168
6,8,8,8,64,balanced,0.3755690574645996,1.7499998807907104,4171235328,57344
6,8,8,8,64,hot_rank,0.23281493186950683,55.999996185302734,4171235328,57344
6,8,8,128,1024,balanced,0.4554986635843913,1.0390625,4171235328,917504
6,8,8,128,1024,hot_rank,1.0627391815185547,55.999996185302734,4171235328,917504
6,8,8,512,4096,balanced,0.630626106262207,1.01171875,4171235328,3670016
6,8,8,512,4096,hot_rank,2.4315648396809895,55.999996185302734,4171235328,3670016
6,8,8,2048,16384,balanced,1.5158507029215496,1.00146484375,4171235328,14680064
6,8,8,2048,16384,hot_rank,9.025830078125,55.999996185302734,4171235328,14680064
6,4,4,1,4,balanced,0.27114667892456057,13.999999046325684,3089104896,7168
6,4,4,1,4,hot_rank,0.12832852999369304,55.999996185302734,3089104896,7168
6,4,4,8,32,balanced,0.7539093017578125,1.7499998807907104,3089104896,57344
6,4,4,8,32,hot_rank,0.18079999287923176,55.999996185302734,3089104896,57344
6,4,4,128,512,balanced,0.8460671742757161,1.09375,3089104896,917504
6,4,4,128,512,hot_rank,0.9079210917154948,55.999996185302734,3089104896,917504
6,4,4,512,2048,balanced,1.0467626571655273,1.01171875,3089104896,3670016
6,4,4,512,2048,hot_rank,1.502572758992513,55.999996185302734,3089104896,3670016
6,4,4,2048,8192,balanced,1.6737834930419921,1.0048828125,3089104896,14680064
6,4,4,2048,8192,hot_rank,4.720654805501302,55.999996185302734,3089104896,14680064
7,16,16,1,16,balanced,0.1964735984802246,3.499999761581421,6981419008,7168
7,16,16,1,16,hot_rank,0.11295573711395264,55.999996185302734,6981419008,7168
7,16,16,8,128,balanced,0.21496747334798177,1.3125,6981419008,57344
7,16,16,8,128,hot_rank,0.36922454833984375,55.999996185302734,6981419008,57344
7,16,16,128,2048,balanced,2.834058634440104,1.01171875,6981419008,917504
7,16,16,128,2048,hot_rank,1.3680127461751301,55.999996185302734,6981419008,917504
7,16,16,512,8192,balanced,0.5364394505818685,1.0048828125,6981419008,3670016
