rank,tp,cp,dp,queries,cached_tokens,local_attention_ms,attention_with_merge_ms,graph_ms,correctness_max_abs,expanded_kv_bytes,local_attention_flops
0,4,2,2,1024,32768,0.24981439113616943,0.343507194519043,0.3316879987716675,0.003609955310821533,251658240,257698037760
0,4,2,2,8192,32768,1.3851136207580566,1.6943296432495116,1.7201488494873047,0.003609955310821533,251658240,2061584302080
0,4,2,2,1,131072,0.7362815856933593,0.7596288204193116,0.7450672149658203,0.003609955310821533,1006632960,1006632960
0,4,2,2,128,131072,0.6955455780029297,0.7448480129241943,0.7348288059234619,0.003609955310821533,1006632960,128849018880
0,4,2,2,1024,131072,0.9435903549194335,1.0370816230773925,1.025609588623047,0.003609955310821533,1006632960,1030792151040
0,4,2,2,8192,131072,5.7329856872558596,6.234947204589844,6.035062408447265,0.003609955310821533,1006632960,8246337208320
0,4,2,2,1,1048576,5.455801773071289,5.515347290039062,5.507865524291992,0.003609955310821533,8053063680,8053063680
0,4,2,2,128,1048576,5.4573921203613285,5.524671936035157,5.516187286376953,0.003609955310821533,8053063680,1030792151040
0,4,2,2,1024,1048576,7.430531311035156,7.605462646484375,7.606171417236328,0.003609955310821533,8053063680,8246337208320
0,4,2,2,8192,1048576,49.002130126953126,50.343386840820315,50.058651733398435,0.003609955310821533,8053063680,65970697666560
0,2,4,2,1,32768,0.10258239507675171,0.4955904006958008,0.1461951971054077,0.001435011625289917,251658240,251658240
0,2,4,2,128,32768,0.10322240591049195,0.4654975891113281,0.16657279729843139,0.001435011625289917,251658240,32212254720
0,2,4,2,1024,32768,0.2662911891937256,0.48511037826538084,0.4229584217071533,0.001435011625289917,251658240,257698037760
0,2,4,2,8192,32768,1.263542366027832,2.0185920715332033,1.9323583602905274,0.001435011625289917,251658240,2061584302080
0,2,4,2,1,131072,0.36844160556793215,0.4718815803527832,0.415558385848999,0.001435011625289917,1006632960,1006632960
0,2,4,2,128,131072,0.3630208015441895,0.504252815246582,0.42501120567321776,0.001435011625289917,1006632960,128849018880
0,2,4,2,1024,131072,0.9835840225219726,1.1570655822753906,1.141316795349121,0.001435011625289917,1006632960,1030792151040
0,2,4,2,8192,131072,5.308444976806641,6.346956634521485,6.184660720825195,0.001435011625289917,1006632960,8246337208320
0,2,4,2,1,1048576,2.9112192153930665,2.8572479248046876,2.842639923095703,0.001435011625289917,8053063680,8053063680
0,2,4,2,128,1048576,2.791219139099121,2.87576961517334,2.864859199523926,0.001435011625289917,8053063680,1030792151040
0,2,4,2,1024,1048576,7.720285034179687,7.939027404785156,7.940033721923828,0.001435011625289917,8053063680,8246337208320
0,2,4,2,8192,1048576,47.04275207519531,48.976620483398435,49.29661560058594,0.001435011625289917,8053063680,65970697666560
1,16,1,1,1,32768,0.3500224113464355,0.3489696025848389,0.34039199352264404,0.0019208788871765137,125829120,125829120
1,16,1,1,128,32768,0.3475775957107544,0.3479520082473755,0.3407887935638428,0.0019208788871765137,125829120,16106127360
1,16,1,1,1024,32768,0.4690847873687744,0.46787519454956056,0.459441614151001,0.0019208788871765137,125829120,128849018880
1,16,1,1,8192,32768,0.9088800430297852,0.9039648056030274,0.8973199844360351,0.0019208788871765137,125829120,1030792151040
1,16,1,1,1,131072,1.3595487594604492,1.3598336219787597,1.3519536018371583,0.0019208788871765137,503316480,503316480
1,16,1,1,128,131072,1.3626111984252929,1.3603199958801269,1.353279972076416,0.0019208788871765137,503316480,64424509440
1,16,1,1,1024,131072,1.8180320739746094,1.8158271789550782,1.8103935241699218,0.0019208788871765137,503316480,515396075520
1,16,1,1,8192,131072,3.5119873046875,3.517708969116211,3.524732971191406,0.0019208788871765137,503316480,4123168604160
1,16,1,1,1,1048576,10.763404846191406,10.764745330810547,10.755204772949218,0.0019208788871765137,4026531840,4026531840
1,16,1,1,128,1048576,10.768793487548828,10.768399810791015,10.761281585693359,0.0019208788871765137,4026531840,515396075520
1,16,1,1,1024,1048576,14.415510559082032,14.411923217773438,14.404176330566406,0.0019208788871765137,4026531840,4123168604160
1,16,1,1,8192,1048576,28.488055419921874,28.540878295898438,28.139306640625,0.0019208788871765137,4026531840,32985348833280
1,8,2,1,1,32768,0.1850368022918701,0.4046815872192383,0.21113600730895996,0.0035523176193237305,125829120,125829120
